Date,Time,State,City,Location_Zone,Ride_Request,Available_Vehicle,Completed_Rides,Cancelled_Rides,Average_Wait_Time,Surge_Multiplier
2026-07-12,21:00:00,Maharashtra,Mumbai,Andheri,119,133,115,4,4.38,1.04
2026-07-12,11:00:00,Maharashtra,Mumbai,Andheri,101,129,92,9,4.97,1.0
2026-05-20,19:00:00,Maharashtra,Mumbai,Powai,185,153,166,19,7.77,1.19
2026-05-14,23:00:00,Maharashtra,Mumbai,Kurla,150,194,141,9,5.46,1.07
2026-06-06,06:00:00,Maharashtra,Mumbai,Andheri,100,146,93,7,4.83,1.01
2026-06-07,15:00:00,Maharashtra,Mumbai,Andheri,95,118,89,6,5.3,1.04
2026-05-10,10:00:00,Maharashtra,Mumbai,Powai,89,130,85,4,4.93,1.03
2026-05-18,02:00:00,Maharashtra,Mumbai,Lower Parel,60,148,54,6,5.2,1.0
2026-05-31,08:00:00,Maharashtra,Mumbai,Lower Parel,,177,177,10,5.91,1.05
2026-06-30,16:00:00,Maharashtra,Mumbai,Powai,120,140,114,6,4.9,1.05
2026-06-29,03:00:00,Maharashtra,Mumbai,Bandra,60,109,55,5,5.12,1.0
2026-07-19,15:00:00,Maharashtra,Mumbai,Borivali,106,143,100,6,4.44,1.01
2026-05-16,15:00:00,Maharashtra,Mumbai,Andheri,108,159,99,9,4.92,1.0
2026-06-24,21:00:00,Maharashtra,Mumbai,Borivali,113,156,103,10,5.96,1.0
2026-05-02,05:00:00,Maharashtra,Mumbai,Lower Parel,55,147,51,4,4.52,1.0
2026-05-31,21:00:00,Maharashtra,Mumbai,Borivali,134,171,125,9,5.9,1.0
2026-06-18,14:00:00,Maharashtra,Mumbai,Bandra,100,122,85,15,6.09,1.01
2026-05-20,15:00:00,Maharashtra,Mumbai,Borivali,137,195,129,8,5.21,1.03
2026-06-28,17:00:00,Maharashtra,Mumbai,Kurla,231,191,214,17,6.49,1.13
2026-06-02,06:00:00,Maharashtra,Mumbai,Dadar,63,98,62,1,5.19,1.04
2026-05-10,18:00:00,Maharashtra,Mumbai,Thane,,118,119,6,6.56,1.06
2026-06-17,15:00:00,Maharashtra,Mumbai,Lower Parel,99,158,96,3,5.08,1.0
2026-07-02,07:00:00,Maharashtra,Mumbai,Borivali,257,205,229,28,7.04,1.11
2026-07-10,08:00:00,Maharashtra,Mumbai,Dadar,148,111,132,16,7.29,1.17
2026-06-15,05:00:00,Maharashtra,Mumbai,Thane,46,110,43,3,4.31,1.0
2026-06-14,20:00:00,Maharashtra,Mumbai,Kurla,240,223,227,13,5.82,1.11
2026-05-12,23:00:00,Maharashtra,Mumbai,Borivali,138,175,122,16,4.84,1.0
2026-07-11,03:00:00,Maharashtra,Mumbai,Powai,51,148,50,1,5.34,1.0
2026-07-16,10:00:00,Maharashtra,Mumbai,Andheri,102,133,93,9,5.52,1.0
2026-07-20,05:00:00,Maharashtra,Mumbai,Borivali,53,177,48,5,4.48,1.0
2026-06-14,23:00:00,Maharashtra,Mumbai,Borivali,130,154,119,11,5.89,1.0
2026-06-10,02:00:00,Maharashtra,Mumbai,Borivali,65,167,63,2,5.83,1.03
2026-06-27,03:00:00,Maharashtra,Mumbai,Powai,45,124,39,6,5.52,1.0
2026-07-23,11:00:00,Maharashtra,Mumbai,Dadar,60,124,52,8,4.95,1.01
2026-07-03,21:00:00,Maharashtra,Mumbai,Lower Parel,103,153,97,6,5.59,1.0
2026-06-29,09:00:00,Maharashtra,Mumbai,Powai,180,152,162,18,5.98,1.13
2026-06-11,02:00:00,Maharashtra,Mumbai,Bandra,51,119,47,4,3.9,1.0
2026-05-18,12:00:00,Maharashtra,Mumbai,Thane,111,119,107,4,5.96,1.0
2026-07-08,14:00:00,Maharashtra,Mumbai,Kurla,198,200,176,22,4.97,1.01
2026-05-18,19:00:00,Maharashtra,Mumbai,Andheri,225,151,194,31,7.86,1.24
2026-07-16,21:00:00,Maharashtra,Mumbai,Bandra,74,124,69,5,5.49,1.0
2026-05-03,18:00:00,Maharashtra,,Andheri,151,141,139,12,6.36,1.04
2026-06-06,21:00:00,Maharashtra,Mumbai,Bandra,83,120,74,9,5.45,1.03
2026-07-21,03:00:00,Maharashtra,Mumbai,Andheri,61,137,58,3,4.61,1.03
2026-05-24,05:00:00,Maharashtra,Mumbai,Thane,38,101,35,3,4.65,1.0
2026-06-07,01:00:00,Maharashtra,Mumbai,Lower Parel,68,140,67,1,4.53,1.02
2026-07-08,15:00:00,Maharashtra,Mumbai,Bandra,94,115,87,7,6.36,1.0
2026-05-13,10:00:00,Maharashtra,Mumbai,Powai,92,129,85,7,4.75,1.0
2026-06-03,21:00:00,Maharashtra,Mumbai,Powai,109,112,103,6,6.27,1.05
2026-05-26,,Maharashtra,Mumbai,Borivali,105,154,101,4,5.86,1.02
2026-06-17,11:00:00,Maharashtra,Mumbai,Kurla,131,209,123,8,5.09,1.03
2026-07-17,13:00:00,Maharashtra,Mumbai,Andheri,132,171,122,10,6.16,1.02
2026-07-21,07:00:00,Maharashtra,Mumbai,Kurla,239,206,216,23,7.24,1.13
2026-06-23,08:00:00,Maharashtra,Mumbai,Dadar,133,119,119,14,6.75,1.08
2026-05-12,19:00:00,Maharashtra,Mumbai,Bandra,185,143,167,18,7.2,1.17
2026-05-10,15:00:00,Maharashtra,Mumbai,Bandra,96,129,90,6,5.14,1.01
2026-07-28,22:00:00,Maharashtra,Mumbai,Andheri,95,135,86,9,4.96,1.0
2026-06-20,01:00:00,Maharashtra,Mumbai,Dadar,41,100,40,1,5.24,1.01
2026-05-28,14:00:00,Maharashtra,Mumbai,Dadar,112,87,95,17,6.24,1.11
2026-07-18,04:00:00,Maharashtra,Mumbai,Powai,54,112,50,4,5.37,1.0
2026-05-18,06:00:00,Maharashtra,Mumbai,Borivali,111,180,105,6,5.41,1.0
2026-07-12,19:00:00,Maharashtra,Mumbai,Powai,157,135,140,17,6.41,1.11
2026-06-12,14:00:00,Maharashtra,Mumbai,Powai,139,141,130,9,6.37,1.11
2026-07-22,04:00:00,Maharashtra,Mumbai,Dadar,40,76,37,3,5.87,1.0
2026-06-22,01:00:00,Maharashtra,Mumbai,Bandra,50,118,44,6,4.73,1.03
2026-07-16,21:00:00,Maharashtra,Mumbai,Kurla,145,182,138,7,5.72,1.0
2026-05-15,10:00:00,Maharashtra,Mumbai,Andheri,94,144,84,10,5.51,1.04
2026-05-31,15:00:00,Maharashtra,Mumbai,Bandra,78,120,71,7,4.85,1.0
2026-06-09,05:00:00,Maharashtra,Mumbai,Bandra,43,120,41,2,3.79,1.04
2026-05-05,07:00:00,Maharashtra,Mumbai,Kurla,291,218,256,35,7.94,1.18
2026-05-12,05:00:00,Maharashtra,Mumbai,Bandra,51,114,48,3,5.02,1.0
2026-05-06,22:00:00,Maharashtra,Mumbai,Borivali,135,192,128,7,5.36,1.05
2026-05-03,06:00:00,Maharashtra,Mumbai,Borivali,127,170,116,11,6.47,1.02
2026-07-05,19:00:00,Maharashtra,Mumbai,Thane,141,137,129,12,6.2,1.07
2026-05-12,00:00:00,Maharashtra,Mumbai,Lower Parel,60,171,57,3,4.46,1.0
2026-05-24,15:00:00,Maharashtra,Mumbai,Lower Parel,115,151,106,9,5.49,1.02
2026-06-11,10:00:00,Maharashtra,Mumbai,Dadar,62,102,56,6,4.9,1.01
2026-05-05,14:00:00,Maharashtra,Mumbai,Borivali,195,195,173,22,5.46,1.06
2026-06-09,16:00:00,Maharashtra,Mumbai,Powai,103,126,97,6,5.34,1.02
2026-06-28,18:00:00,Maharashtra,Mumbai,Andheri,173,143,156,17,7.23,1.12
2026-07-24,07:00:00,Maharashtra,Mumbai,Andheri,163,159,146,17,5.56,1.1
2026-05-06,06:00:00,Maharashtra,Mumbai,Kurla,150,183,134,16,6.06,1.0
2026-07-09,02:00:00,Maharashtra,Mumbai,Andheri,59,138,57,2,4.72,1.0
2026-05-06,06:00:00,Maharashtra,Mumbai,Dadar,72,84,63,9,6.06,1.05
2026-06-12,18:00:00,Maharashtra,Mumbai,Thane,183,113,164,19,8.74,1.16
2026-05-11,05:00:00,Maharashtra,Mumbai,Andheri,60,134,55,5,4.45,1.01
2026-07-07,10:00:00,Maharashtra,Mumbai,Andheri,99,140,90,9,5.96,1.0
2026-05-27,09:00:00,Maharashtra,Mumbai,Powai,178,163,164,14,6.23,1.07
2026-05-14,22:00:00,Maharashtra,Mumbai,Kurla,141,211,137,4,5.35,1.01
2026-07-25,00:00:00,Maharashtra,Mumbai,Dadar,32,108,30,2,4.28,
2026-05-24,05:00:00,Maharashtra,Mumbai,Lower Parel,58,160,56,2,5.24,1.01
2026-07-10,11:00:00,Maharashtra,Mumbai,Lower Parel,110,169,104,6,5.93,1.04
2026-07-24,11:00:00,Maharashtra,Mumbai,,64,96,58,6,4.51,1.0
2026-06-26,11:00:00,Maharashtra,Mumbai,Dadar,88,108,79,9,6.63,1.08
2026-07-06,12:00:00,Maharashtra,Mumbai,Thane,124,,110,14,6.89,1.09
2026-06-17,09:00:00,Maharashtra,Mumbai,Powai,167,120,145,22,7.3,1.18
2026-07-29,21:00:00,Maharashtra,Mumbai,Powai,100,134,93,7,4.73,1.02
2026-05-23,06:00:00,Maharashtra,Mumbai,Borivali,122,156,109,13,4.57,1.01
2026-06-16,20:00:00,Maharashtra,Mumbai,Dadar,163,138,148,15,6.88,1.18
2026-06-03,05:00:00,Maharashtra,Mumbai,Dadar,34,97,28,6,4.58,1.02
2026-07-11,11:00:00,Maharashtra,Mumbai,Borivali,141,175,125,16,4.95,1.01
2026-06-12,13:00:00,Maharashtra,Mumbai,Powai,132,133,122,10,5.09,1.06
2026-06-04,12:00:00,Maharashtra,Mumbai,Lower Parel,157,177,143,14,6.2,1.04
2026-07-16,01:00:00,Maharashtra,Mumbai,Kurla,54,197,50,4,4.29,1.0
2026-05-04,18:00:00,Maharashtra,Mumbai,Powai,213,151,192,21,8.33,1.2
,21:00:00,Maharashtra,Mumbai,Borivali,124,202,118,6,5.74,1.01
2026-07-24,06:00:00,Maharashtra,Mumbai,Bandra,70,132,66,4,3.93,1.0
2026-05-29,15:00:00,Maharashtra,Mumbai,Dadar,64,89,61,3,5.64,1.02
2026-06-30,09:00:00,Maharashtra,Mumbai,Lower Parel,220,185,203,17,7.09,1.14
2026-06-05,03:00:00,Maharashtra,Mumbai,Powai,58,103,55,3,5.16,1.0
2026-05-12,20:00:00,Maharashtra,Mumbai,Lower Parel,268,179,237,31,8.56,1.21
2026-05-30,20:00:00,Maharashtra,Mumbai,Bandra,153,168,137,16,6.18,1.09
2026-05-29,02:00:00,Maharashtra,Mumbai,Andheri,48,130,44,4,5.05,1.03
2026-05-16,01:00:00,Maharashtra,Mumbai,Dadar,28,92,27,1,3.44,1.0
2026-05-28,12:00:00,Maharashtra,Mumbai,Kurla,179,213,166,13,5.84,1.06
2026-07-22,10:00:00,Maharashtra,Mumbai,Powai,77,146,71,6,4.56,1.0
2026-05-06,12:00:00,Maharashtra,Mumbai,Dadar,104,100,94,10,7.04,1.1
2026-07-22,19:00:00,Maharashtra,Mumbai,Thane,149,118,135,14,6.97,1.15
2026-05-04,19:00:00,Maharashtra,Mumbai,Borivali,281,190,244,37,6.87,1.2
2026-06-26,23:00:00,Maharashtra,Mumbai,Dadar,62,106,59,3,5.61,1.0
2026-05-21,19:00:00,Maharashtra,Mumbai,Thane,167,124,149,18,7.06,1.2
2026-07-15,04:00:00,Maharashtra,Mumbai,Kurla,72,211,64,8,4.37,1.0
2026-07-04,16:00:00,Maharashtra,Mumbai,Andheri,92,146,87,5,4.63,1.02
2026-06-26,13:00:00,Maharashtra,Mumbai,Lower Parel,160,168,145,15,5.44,1.04
2026-07-27,10:00:00,Maharashtra,Mumbai,Powai,87,121,77,10,4.85,1.0
2026-07-19,18:00:00,Maharashtra,Mumbai,Powai,125,134,114,11,5.26,1.06
2026-06-07,18:00:00,Maharashtra,Mumbai,Kurla,240,197,223,17,5.7,1.1
2026-07-25,06:00:00,Maharashtra,Mumbai,Dadar,64,103,58,6,5.45,1.01
2026-07-02,09:00:00,Maharashtra,Mumbai,Dadar,126,139,114,12,5.43,1.04
2026-07-16,11:00:00,Maharashtra,Mumbai,Lower Parel,88,149,80,8,6.53,1.0
2026-07-08,10:00:00,Maharashtra,Mumbai,Kurla,145,198,137,8,4.18,1.07
2026-06-30,22:00:00,Maharashtra,Mumbai,Thane,86,99,80,6,5.95,1.02
2026-07-05,19:00:00,Maharashtra,Mumbai,Dadar,141,117,128,13,6.77,1.16
2026-05-29,13:00:00,Maharashtra,Mumbai,Bandra,107,127,98,9,4.64,1.05
2026-07-09,16:00:00,Maharashtra,Mumbai,Lower Parel,125,167,117,8,6.06,1.0
2026-05-03,22:00:00,Maharashtra,Mumbai,Bandra,82,130,79,3,5.42,1.0
2026-05-20,10:00:00,Maharashtra,Mumbai,Bandra,83,125,78,5,5.24,1.01
2026-07-22,05:00:00,Maharashtra,Mumbai,Kurla,60,173,56,4,4.18,1.01
2026-07-03,20:00:00,Maharashtra,Mumbai,Borivali,301,186,262,39,7.33,1.26
2026-06-29,02:00:00,Maharashtra,Mumbai,Kurla,71,176,68,3,4.83,1.0
2026-07-02,20:00:00,Maharashtra,Mumbai,Borivali,271,210,239,32,6.98,1.23
2026-07-21,13:00:00,Maharashtra,Mumbai,Dadar,79,111,74,5,5.97,1.01
2026-06-01,03:00:00,Maharashtra,Mumbai,Thane,43,112,41,2,3.61,1.0
2026-07-03,09:00:00,Maharashtra,Mumbai,Thane,152,132,139,13,6.46,
2026-05-07,04:00:00,Maharashtra,Mumbai,Powai,65,147,60,5,5.07,1.01
2026-06-01,22:00:00,Maharashtra,Mumbai,Bandra,95,134,88,7,4.87,1.0
2026-07-09,00:00:00,Maharashtra,Mumbai,Borivali,68,165,65,3,5.29,1.03
2026-05-03,12:00:00,Maharashtra,Mumbai,Dadar,105,113,93,12,5.41,1.05
2026-05-04,03:00:00,Maharashtra,Mumbai,Lower Parel,65,159,61,4,4.83,1.0
2026-07-08,02:00:00,Maharashtra,Mumbai,Dadar,41,131,39,2,5.34,1.0
2026-05-19,22:00:00,Maharashtra,Mumbai,Powai,87,146,75,12,5.36,1.0
2026-06-12,19:00:00,Maharashtra,Mumbai,Kurla,322,226,300,22,6.9,1.17
2026-07-19,11:00:00,Maharashtra,Mumbai,Kurla,131,167,121,10,5.71,1.02
2026-06-29,03:00:00,Maharashtra,Mumbai,Powai,40,130,38,2,4.93,1.0
2026-06-23,04:00:00,Maharashtra,Mumbai,Lower Parel,72,161,65,7,5.36,
2026-07-19,18:00:00,Maharashtra,Mumbai,Dadar,109,113,100,9,6.82,1.07
2026-07-17,09:00:00,Maharashtra,Mumbai,Dadar,114,109,104,10,6.6,1.11
2026-05-12,14:00:00,Maharashtra,Mumbai,Lower Parel,171,177,160,11,6.3,1.04
2026-07-04,02:00:00,Maharashtra,Mumbai,Lower Parel,75,,71,4,4.32,1.0
2026-05-17,17:00:00,Maharashtra,Mumbai,Dadar,116,100,106,10,6.36,1.12
2026-06-16,02:00:00,Maharashtra,Mumbai,Powai,50,127,47,3,4.64,1.06
2026-05-31,11:00:00,Maharashtra,Mumbai,Dadar,62,104,59,3,4.52,1.02
2026-06-06,01:00:00,Maharashtra,Mumbai,Borivali,59,159,53,6,4.54,1.02
2026-06-12,02:00:00,Maharashtra,Mumbai,Dadar,42,104,38,4,4.2,1.0
2026-05-09,18:00:00,Maharashtra,Mumbai,Andheri,170,152,152,18,5.81,1.05
2026-07-02,13:00:00,Maharashtra,Mumbai,Borivali,178,189,162,16,5.73,1.04
2026-06-07,09:00:00,Maharashtra,Mumbai,Lower Parel,182,173,168,14,6.62,1.08
2026-05-14,10:00:00,Maharashtra,Mumbai,Kurla,134,207,127,7,5.35,1.02
2026-05-25,20:00:00,Maharashtra,Mumbai,Borivali,264,203,237,27,6.26,1.2
2026-06-29,20:00:00,Maharashtra,Mumbai,Lower Parel,271,189,241,30,7.8,1.23
2026-07-02,01:00:00,Maharashtra,Mumbai,Lower Parel,72,165,66,6,4.54,1.05
2026-05-25,02:00:00,Maharashtra,Mumbai,Bandra,31,115,29,2,4.43,1.0
2026-06-16,08:00:00,Maharashtra,Mumbai,Lower Parel,201,168,185,16,7.39,1.15
2026-05-01,13:00:00,Maharashtra,Mumbai,Powai,135,136,118,17,6.23,1.05
2026-05-11,07:00:00,Maharashtra,Mumbai,Dadar,131,116,113,18,6.46,1.12
2026-07-15,13:00:00,Maharashtra,Mumbai,Dadar,96,117,85,11,5.28,1.0
2026-06-15,15:00:00,Maharashtra,Mumbai,Andheri,89,144,83,6,6.25,1.01
2026-05-14,02:00:00,Maharashtra,Mumbai,Andheri,50,142,48,2,4.63,1.0
2026-05-20,04:00:00,Maharashtra,Mumbai,Bandra,36,111,32,4,5.96,1.0
2026-07-01,15:00:00,Maharashtra,Mumbai,Thane,79,87,74,5,6.07,1.02
2026-06-05,19:00:00,Maharashtra,Mumbai,Dadar,156,120,142,14,7.4,1.15
2026-06-16,10:00:00,Maharashtra,Mumbai,Dadar,53,107,49,4,4.6,1.0
2026-05-04,11:00:00,Maharashtra,Mumbai,Andheri,101,118,93,8,5.14,1.0
2026-05-08,08:00:00,Maharashtra,Mumbai,Thane,175,111,154,21,7.57,1.2
2026-07-14,06:00:00,Maharashtra,Mumbai,,66,115,61,5,5.15,1.03
2026-07-27,21:00:00,Maharashtra,Mumbai,Borivali,128,176,123,5,4.96,1.02
2026-07-20,23:00:00,Maharashtra,Mumbai,Lower Parel,103,175,95,8,4.47,1.01
2026-05-28,05:00:00,Maharashtra,Mumbai,Bandra,43,98,39,4,4.18,1.0
2026-07-17,17:00:00,Maharashtra,Mumbai,Borivali,281,200,252,29,7.44,1.18
2026-07-14,09:00:00,Maharashtra,Mumbai,Thane,144,132,131,13,6.0,1.14
2026-05-11,17:00:00,Maharashtra,Mumbai,Dadar,174,119,157,17,6.81,1.19
2026-07-18,13:00:00,Maharashtra,Mumbai,Bandra,80,119,70,10,6.23,1.01
2026-06-15,08:00:00,Maharashtra,Mumbai,Thane,154,117,136,18,6.45,1.18
2026-06-27,08:00:00,Maharashtra,Mumbai,Powai,131,153,119,12,5.71,1.0
2026-06-14,22:00:00,Maharashtra,Mumbai,Kurla,113,191,103,10,5.35,1.0
2026-06-23,10:00:00,Maharashtra,Mumbai,Dadar,52,104,52,0,5.08,1.0
2026-06-27,03:00:00,Maharashtra,Mumbai,Dadar,41,87,38,3,4.24,
2026-07-24,22:00:00,Maharashtra,Mumbai,Bandra,64,107,59,5,4.8,1.0
