Date,Area,Sector_Number,Daily_Ridership,Weather,Vehicle_Availability,Delay_Minutes
2024-02-06,Sector 1,1,1512,Clear,9.5,4.5
2024-02-07,Sector 1,1,1450,Clear,3.2,5.7
2024-02-08,Sector 1,1,1453,Clear,4.3,1.0
2024-02-09,Sector 1,1,1581,Clear,1.0,2.9
2024-02-10,Sector 1,1,1425,Clear,4.5,0.6
2024-02-11,Sector 1,1,1409,Clear,5.9,3.6
2024-02-12,Sector 1,1,1471,Clear,7.9,3.0
2024-02-13,Sector 1,1,1549,Cloudy,1.0,3.5
2024-02-14,Sector 1,1,1540,Clear,1.0,3.4
2024-02-15,Sector 1,1,1550,Clear,4.4,6.5
2024-02-16,Sector 1,1,1607,Clear,3.0,5.5
2024-02-17,Sector 1,1,1387,Cloudy,1.0,7.1
2024-02-18,Sector 1,1,1427,Clear,3.9,5.3
2024-02-19,Sector 1,1,1541,Clear,1.0,2.5
2024-02-20,Sector 1,1,1561,Clear,1.0,1.5
2024-02-21,Sector 1,1,1591,Cloudy,1.0,3.5
2024-02-22,Sector 1,1,1412,Clear,1.0,3.8
2024-02-23,Sector 1,1,1511,Clear,1.0,4.2
2024-02-24,Sector 1,1,1333,Clear,1.0,3.9
2024-02-25,Sector 1,1,1320,Clear,9.1,4.1
2024-02-26,Sector 1,1,1517,Clear,8.3,5.0
2024-02-27,Sector 1,1,1671,Clear,6.5,5.1
2024-02-28,Sector 1,1,1468,Clear,1.6,4.4
2024-02-29,Sector 1,1,1627,Clear,1.0,3.5
2024-03-01,Sector 1,1,1399,Cloudy,1.0,6.7
2024-03-02,Sector 1,1,1350,Clear,4.9,3.6
2024-03-03,Sector 1,1,1394,Clear,1.0,2.7
2024-03-04,Sector 1,1,1597,Clear,9.1,2.7
2024-03-05,Sector 1,1,1608,Cloudy,1.0,6.4
2024-03-06,Sector 1,1,1616,Clear,2.2,5.3
2024-03-07,Sector 1,1,1518,Clear,1.0,4.7
2024-03-08,Sector 1,1,1509,Clear,9.4,1.2
2024-03-09,Sector 1,1,1458,Clear,1.0,5.7
2024-03-10,Sector 1,1,1368,Rain,1.0,7.2
2024-03-11,Sector 1,1,1440,Cloudy,1.0,3.3
2024-03-12,Sector 1,1,1453,Clear,5.7,6.4
2024-03-13,Sector 1,1,1472,Rain,1.0,9.2
2024-03-14,Sector 1,1,1595,Clear,1.0,5.1
2024-03-15,Sector 1,1,1565,Clear,3.1,6.1
2024-03-16,Sector 1,1,1447,Rain,1.0,7.6
2024-03-17,Sector 1,1,1351,Cloudy,1.5,6.9
2024-03-18,Sector 1,1,1567,Clear,4.7,5.9
2024-03-19,Sector 1,1,1608,Clear,6.3,5.6
2024-03-20,Sector 1,1,1528,Clear,1.0,3.9
2024-03-21,Sector 1,1,1594,Clear,8.8,4.2
2024-03-22,Sector 1,1,1498,Clear,2.0,4.3
2024-03-23,Sector 1,1,1359,Clear,1.9,7.0
2024-03-24,Sector 1,1,1357,Rain,2.0,9.1
2024-03-25,Sector 1,1,1453,Clear,1.2,4.6
2024-03-26,Sector 1,1,1598,Rain,1.0,6.6
2024-03-27,Sector 1,1,1516,Clear,1.0,4.7
2024-03-28,Sector 1,1,1558,Clear,1.0,5.2
2024-03-29,Sector 1,1,1598,Rain,1.0,6.9
2024-03-30,Sector 1,1,1430,Rain,1.0,11.3
2024-03-31,Sector 1,1,1449,Rain,1.0,12.0
2024-04-01,Sector 1,1,1549,Cloudy,5.8,6.9
2024-04-02,Sector 1,1,1521,Clear,1.0,4.6
2024-04-03,Sector 1,1,1550,Clear,12.0,4.5
2024-04-04,Sector 1,1,1412,Clear,1.0,3.2
2024-04-05,Sector 1,1,1432,Clear,3.7,4.5
2024-04-06,Sector 1,1,1278,Rain,1.0,10.8
2024-04-07,Sector 1,1,1306,Clear,3.6,4.3
2024-04-08,Sector 1,1,1592,Clear,4.9,3.3
2024-04-09,Sector 1,1,1479,Cloudy,1.0,6.3
2024-04-10,Sector 1,1,1525,Clear,1.0,5.0
2024-04-11,Sector 1,1,1669,Clear,3.7,1.8
2024-04-12,Sector 1,1,1526,Rain,1.0,10.5
2024-04-13,Sector 1,1,1455,Clear,1.0,2.8
2024-04-14,Sector 1,1,1311,Clear,4.3,2.8
2024-04-15,Sector 1,1,1539,Clear,1.0,5.4
2024-04-16,Sector 1,1,1474,Clear,1.0,3.4
2024-04-17,Sector 1,1,1527,Clear,7.4,1.7
2024-04-18,Sector 1,1,1628,Cloudy,1.0,3.3
2024-04-19,Sector 1,1,1406,Clear,2.1,4.1
2024-04-20,Sector 1,1,1427,Clear,4.2,1.4
2024-04-21,Sector 1,1,1410,Clear,4.6,4.5
2024-04-22,Sector 1,1,1503,Rain,1.0,10.1
2024-04-23,Sector 1,1,1429,Clear,2.2,4.1
2024-04-24,Sector 1,1,1560,Clear,1.0,3.4
2024-04-25,Sector 1,1,1508,Cloudy,1.0,5.0
2024-04-26,Sector 1,1,1573,Cloudy,1.5,4.5
2024-04-27,Sector 1,1,1389,Cloudy,4.2,7.4
2024-04-28,Sector 1,1,1525,Cloudy,4.9,6.4
2024-04-29,Sector 1,1,1531,Cloudy,1.0,6.1
2024-04-30,Sector 1,1,1463,Rain,1.0,8.1
2024-05-01,Sector 1,1,1566,Clear,1.0,5.0
2024-05-02,Sector 1,1,1569,Clear,3.3,3.9
2024-05-03,Sector 1,1,1667,Clear,6.9,5.8
2024-05-04,Sector 1,1,1456,Cloudy,5.5,6.5
2024-05-05,Sector 1,1,1414,Rain,1.0,8.7
2024-05-06,Sector 1,1,1674,Clear,6.8,2.8
2024-05-07,Sector 1,1,1445,Clear,3.9,5.1
2024-05-08,Sector 1,1,1492,Clear,1.0,3.6
2024-05-09,Sector 1,1,1466,Cloudy,5.1,7.0
2024-05-10,Sector 1,1,1512,Clear,1.0,3.0
2024-05-11,Sector 1,1,1261,Clear,4.4,4.0
2024-05-12,Sector 1,1,1434,Clear,1.0,4.7
2024-05-13,Sector 1,1,1524,Clear,2.3,4.7
2024-05-14,Sector 1,1,1416,Rain,3.6,9.6
2024-05-15,Sector 1,1,1454,Clear,4.8,2.5
2024-05-16,Sector 1,1,1568,Clear,1.0,1.8
2024-05-17,Sector 1,1,1613,Clear,1.0,5.1
2024-05-18,Sector 1,1,1547,Clear,1.0,4.7
2024-05-19,Sector 1,1,1625,Clear,6.0,4.8
2024-05-20,Sector 1,1,1574,Clear,1.0,5.7
2024-05-21,Sector 1,1,1452,Clear,1.7,4.8
2024-05-22,Sector 1,1,1352,Clear,1.0,3.5
2024-05-23,Sector 1,1,1559,Rain,1.0,8.9
2024-05-24,Sector 1,1,1465,Clear,9.5,2.0
2024-05-25,Sector 1,1,1333,Clear,3.1,4.0
2024-05-26,Sector 1,1,1315,Rain,1.0,10.8
2024-05-27,Sector 1,1,1520,Cloudy,7.5,4.5
2024-05-28,Sector 1,1,1623,Cloudy,1.0,6.6
2024-05-29,Sector 1,1,1544,Clear,1.0,2.4
2024-05-30,Sector 1,1,1516,Clear,2.5,5.7
2024-05-31,Sector 1,1,1439,Cloudy,1.0,5.2
2024-06-01,Sector 1,1,1217,Clear,3.1,2.7
2024-06-02,Sector 1,1,1319,Clear,2.0,3.5
2024-06-03,Sector 1,1,1521,Rain,1.0,6.0
2024-06-04,Sector 1,1,1677,Clear,6.5,4.0
2024-06-05,Sector 1,1,1535,Cloudy,1.0,7.0
2024-06-06,Sector 1,1,1607,Cloudy,1.5,6.4
2024-06-07,Sector 1,1,1478,Cloudy,1.7,5.3
2024-06-08,Sector 1,1,1253,Clear,3.9,3.6
2024-06-09,Sector 1,1,1271,Cloudy,1.0,5.5
2024-06-10,Sector 1,1,1456,Cloudy,1.0,4.0
2024-06-11,Sector 1,1,1701,Clear,1.0,5.0
2024-06-12,Sector 1,1,1445,Clear,1.0,3.4
2024-06-13,Sector 1,1,1588,Clear,4.9,2.4
2024-06-14,Sector 1,1,1436,Clear,3.8,5.9
2024-06-15,Sector 1,1,1428,Cloudy,5.6,5.2
2024-06-16,Sector 1,1,1380,Rain,1.0,9.7
2024-06-17,Sector 1,1,1497,Clear,12.7,2.9
2024-06-18,Sector 1,1,1506,Clear,7.1,5.0
2024-06-19,Sector 1,1,1452,Cloudy,1.0,3.9
2024-06-20,Sector 1,1,1546,Rain,1.0,8.3
2024-06-21,Sector 1,1,1467,Clear,1.0,4.9
2024-06-22,Sector 1,1,1234,Clear,4.9,2.4
2024-06-23,Sector 1,1,1228,Cloudy,2.5,3.5
2024-06-24,Sector 1,1,1518,Clear,5.0,2.4
2024-06-25,Sector 1,1,1638,Clear,1.0,4.8
2024-06-26,Sector 1,1,1515,Rain,1.0,9.2
2024-06-27,Sector 1,1,1490,Cloudy,1.0,5.2
2024-06-28,Sector 1,1,1523,Clear,2.6,3.9
2024-06-29,Sector 1,1,1445,Rain,1.0,9.7
2024-06-30,Sector 1,1,1350,Cloudy,1.0,4.6
2024-07-01,Sector 1,1,1460,Rain,1.0,11.2
2024-07-02,Sector 1,1,1590,Clear,2.9,2.0
2024-07-03,Sector 1,1,1530,Clear,9.5,5.9
2024-07-04,Sector 1,1,1624,Clear,5.2,3.0
2024-07-05,Sector 1,1,1507,Clear,6.3,5.3
2024-07-06,Sector 1,1,1218,Clear,10.3,2.6
2024-07-07,Sector 1,1,1205,Clear,5.5,3.5
2024-07-08,Sector 1,1,1630,Clear,4.2,3.2
2024-07-09,Sector 1,1,1635,Clear,1.0,4.5
2024-07-10,Sector 1,1,1470,Clear,6.2,5.1
2024-07-11,Sector 1,1,1451,Rain,1.0,9.4
2024-07-12,Sector 1,1,1609,Cloudy,1.9,8.2
2024-07-13,Sector 1,1,1221,Clear,5.3,4.7
2024-07-14,Sector 1,1,1238,Cloudy,1.0,4.3
2024-07-15,Sector 1,1,1535,Rain,1.0,10.7
2024-07-16,Sector 1,1,1445,Clear,1.0,4.9
2024-07-17,Sector 1,1,1477,Cloudy,1.0,3.1
2024-07-18,Sector 1,1,1462,Clear,2.3,4.4
2024-07-19,Sector 1,1,1505,Rain,1.0,8.6
2024-07-20,Sector 1,1,1430,Clear,8.8,4.0
2024-07-21,Sector 1,1,1316,Cloudy,1.0,5.4
2024-07-22,Sector 1,1,1528,Clear,3.6,3.3
2024-07-23,Sector 1,1,1294,Clear,1.0,0.0
2024-07-24,Sector 1,1,1466,Clear,1.0,3.7
2024-07-25,Sector 1,1,1396,Clear,1.0,3.3
2024-07-26,Sector 1,1,1363,Rain,1.0,8.3
2024-07-27,Sector 1,1,1226,Clear,3.5,5.7
2024-07-28,Sector 1,1,1272,Clear,6.9,3.8
2024-07-29,Sector 1,1,1544,Cloudy,1.0,2.0
2024-07-30,Sector 1,1,1350,Clear,2.5,0.9
2024-07-31,Sector 1,1,1466,Clear,1.4,1.9
2024-08-01,Sector 1,1,1421,Clear,1.0,7.1
2024-08-02,Sector 1,1,1433,Clear,2.3,2.3
2024-08-03,Sector 1,1,1382,Cloudy,1.0,6.7
2024-08-04,Sector 1,1,1341,Clear,4.4,2.8
2024-08-05,Sector 1,1,1574,Clear,1.0,5.4
2024-08-06,Sector 1,1,1444,Clear,2.1,7.0
2024-08-07,Sector 1,1,1397,Clear,1.0,3.8
2024-08-08,Sector 1,1,1437,Cloudy,1.0,7.2
2024-08-09,Sector 1,1,1476,Clear,3.4,7.1
2024-08-10,Sector 1,1,1304,Clear,1.0,3.3
2024-08-11,Sector 1,1,1194,Rain,1.0,8.3
2024-08-12,Sector 1,1,1460,Clear,3.4,4.3
2024-08-13,Sector 1,1,1472,Rain,1.0,7.5
2024-08-14,Sector 1,1,1668,Clear,1.0,4.6
2024-08-15,Sector 1,1,1612,Clear,5.6,4.9
2024-08-16,Sector 1,1,1376,Clear,1.0,1.7
2024-08-17,Sector 1,1,1259,Cloudy,3.5,4.9
2024-08-18,Sector 1,1,1156,Clear,5.4,2.2
2024-08-19,Sector 1,1,1396,Cloudy,7.4,1.6
2024-08-20,Sector 1,1,1474,Cloudy,1.8,5.3
2024-08-21,Sector 1,1,1550,Clear,1.0,2.6
2024-08-22,Sector 1,1,1382,Clear,1.0,4.7
2024-08-23,Sector 1,1,1388,Rain,1.0,11.9
2024-08-24,Sector 1,1,1093,Clear,2.5,4.0
2024-08-25,Sector 1,1,1264,Cloudy,1.0,7.8
2024-08-26,Sector 1,1,1351,Clear,4.9,4.4
2024-08-27,Sector 1,1,1397,Cloudy,10.4,6.1
2024-08-28,Sector 1,1,1366,Clear,2.6,5.7
2024-08-29,Sector 1,1,1433,Cloudy,4.6,5.5
2024-08-30,Sector 1,1,1289,Rain,1.0,8.2
2024-08-31,Sector 1,1,1148,Clear,1.0,2.3
2024-09-01,Sector 1,1,1458,Rain,1.0,7.9
2024-09-02,Sector 1,1,1328,Clear,3.1,3.4
2024-09-03,Sector 1,1,1344,Cloudy,1.1,5.5
2024-09-04,Sector 1,1,1597,Clear,1.0,3.3
2024-09-05,Sector 1,1,1689,Clear,2.4,3.8
2024-09-06,Sector 1,1,1336,Clear,1.0,3.6
2024-09-07,Sector 1,1,1240,Clear,1.9,4.5
2024-09-08,Sector 1,1,1301,Rain,1.0,9.5
2024-09-09,Sector 1,1,1586,Clear,1.0,6.9
2024-09-10,Sector 1,1,1351,Clear,1.0,3.8
2024-09-11,Sector 1,1,1415,Rain,1.0,10.6
2024-09-12,Sector 1,1,1503,Clear,10.6,3.1
2024-09-13,Sector 1,1,1473,Clear,1.0,6.5
2024-09-14,Sector 1,1,1237,Clear,2.8,5.1
2024-09-15,Sector 1,1,1258,Clear,5.4,3.6
2024-09-16,Sector 1,1,1316,Clear,6.7,2.6
2024-09-17,Sector 1,1,1414,Clear,10.4,2.9
2024-09-18,Sector 1,1,1411,Cloudy,1.0,7.3
2024-09-19,Sector 1,1,1454,Rain,1.0,7.5
2024-09-20,Sector 1,1,1386,Rain,1.0,8.7
2024-09-21,Sector 1,1,1309,Clear,3.1,5.2
2024-09-22,Sector 1,1,1356,Clear,1.0,3.1
2024-09-23,Sector 1,1,1447,Clear,2.4,3.9
2024-09-24,Sector 1,1,1464,Rain,1.0,10.2
2024-09-25,Sector 1,1,1439,Clear,1.0,5.7
2024-09-26,Sector 1,1,1434,Clear,1.0,5.1
2024-09-27,Sector 1,1,1372,Rain,1.0,10.0
2024-09-28,Sector 1,1,1296,Clear,3.5,4.1
2024-09-29,Sector 1,1,1260,Clear,1.0,2.9
2024-09-30,Sector 1,1,1615,Clear,2.7,4.6
2024-10-01,Sector 1,1,1570,Clear,1.0,1.7
2024-10-02,Sector 1,1,1468,Clear,2.9,1.0
2024-10-03,Sector 1,1,1369,Clear,1.0,4.7
2024-10-04,Sector 1,1,1339,Clear,7.4,4.2
2024-10-05,Sector 1,1,1372,Cloudy,8.2,7.1
2024-10-06,Sector 1,1,1293,Rain,1.0,10.4
2024-10-07,Sector 1,1,1477,Clear,5.2,1.0
2024-10-08,Sector 1,1,1285,Clear,1.0,5.5
2024-10-09,Sector 1,1,1516,Clear,3.4,6.0
2024-10-10,Sector 1,1,1476,Clear,1.0,4.2
2024-10-11,Sector 1,1,1341,Rain,1.0,9.2
2024-10-12,Sector 1,1,1231,Clear,1.0,3.0
2024-10-13,Sector 1,1,1295,Clear,3.3,6.5
2024-10-14,Sector 1,1,1443,Cloudy,2.0,5.5
2024-10-15,Sector 1,1,1413,Rain,1.0,8.0
2024-10-16,Sector 1,1,1430,Clear,3.1,2.5
2024-10-17,Sector 1,1,1418,Clear,9.2,3.4
2024-10-18,Sector 1,1,1453,Rain,1.0,11.4
2024-10-19,Sector 1,1,1402,Clear,5.3,3.9
2024-10-20,Sector 1,1,1054,Cloudy,1.0,5.6
2024-10-21,Sector 1,1,1421,Clear,5.3,2.6
2024-10-22,Sector 1,1,1457,Clear,6.1,5.8
2024-10-23,Sector 1,1,1468,Clear,6.3,2.2
2024-10-24,Sector 1,1,1411,Clear,5.5,2.8
2024-10-25,Sector 1,1,1292,Clear,7.0,2.3
2024-10-26,Sector 1,1,1307,Clear,1.0,1.5
2024-10-27,Sector 1,1,1429,Clear,1.0,5.3
2024-10-28,Sector 1,1,1313,Clear,7.4,4.4
2024-10-29,Sector 1,1,1521,Cloudy,1.0,7.4
2024-10-30,Sector 1,1,1419,Clear,3.0,3.4
2024-10-31,Sector 1,1,1443,Cloudy,5.1,7.6
2024-11-01,Sector 1,1,1358,Clear,1.4,2.2
2024-11-02,Sector 1,1,1255,Cloudy,1.0,4.8
2024-11-03,Sector 1,1,1397,Clear,1.0,6.1
2024-11-04,Sector 1,1,1501,Clear,3.6,5.4
2024-11-05,Sector 1,1,1601,Clear,2.9,6.5
2024-11-06,Sector 1,1,1554,Cloudy,6.6,4.8
2024-11-07,Sector 1,1,1491,Clear,4.0,5.4
2024-11-08,Sector 1,1,1605,Cloudy,6.3,3.6
2024-11-09,Sector 1,1,1328,Clear,6.8,5.8
2024-11-10,Sector 1,1,1362,Rain,1.0,9.4
2024-11-11,Sector 1,1,1432,Clear,1.0,4.0
2024-11-12,Sector 1,1,1464,Clear,8.1,4.9
2024-11-13,Sector 1,1,1399,Clear,1.0,4.2
2024-11-14,Sector 1,1,1545,Clear,1.1,4.8
2024-11-15,Sector 1,1,1359,Clear,1.0,3.3
2024-11-16,Sector 1,1,1364,Cloudy,1.5,11.0
2024-11-17,Sector 1,1,1281,Cloudy,1.0,3.9
2024-11-18,Sector 1,1,1565,Clear,1.0,4.3
2024-11-19,Sector 1,1,1530,Clear,13.9,2.5
2024-11-20,Sector 1,1,1623,Clear,1.0,5.0
2024-11-21,Sector 1,1,1530,Clear,7.7,2.5
2024-11-22,Sector 1,1,1333,Cloudy,4.6,5.7
2024-11-23,Sector 1,1,1298,Clear,4.8,5.4
2024-11-24,Sector 1,1,1204,Cloudy,1.0,5.5
2024-11-25,Sector 1,1,1427,Clear,1.0,3.8
2024-11-26,Sector 1,1,1603,Clear,3.3,4.0
2024-11-27,Sector 1,1,1529,Clear,7.3,4.4
2024-11-28,Sector 1,1,1415,Clear,5.1,4.7
2024-11-29,Sector 1,1,1389,Clear,2.8,2.5
2024-11-30,Sector 1,1,1315,Clear,9.0,6.3
2024-12-01,Sector 1,1,1208,Clear,5.6,3.5
2024-12-02,Sector 1,1,1422,Rain,1.0,11.9
2024-12-03,Sector 1,1,1508,Cloudy,3.4,7.2
2024-12-04,Sector 1,1,1582,Clear,2.2,3.7
2024-12-05,Sector 1,1,1536,Clear,1.0,2.3
2024-12-06,Sector 1,1,1287,Cloudy,9.7,6.3
2024-12-07,Sector 1,1,1347,Clear,4.8,4.9
2024-12-08,Sector 1,1,1328,Clear,1.0,0.0
2024-12-09,Sector 1,1,1524,Cloudy,4.2,4.3
2024-12-10,Sector 1,1,1629,Cloudy,5.8,4.2
2024-12-11,Sector 1,1,1313,Clear,5.9,0.0
2024-12-12,Sector 1,1,1441,Cloudy,5.8,5.2
2024-12-13,Sector 1,1,1545,Cloudy,2.8,5.2
2024-12-14,Sector 1,1,1193,Clear,1.0,2.2
2024-12-15,Sector 1,1,1458,Cloudy,2.2,5.8
2024-12-16,Sector 1,1,1529,Clear,8.4,0.7
2024-12-17,Sector 1,1,1572,Clear,7.6,5.0
2024-12-18,Sector 1,1,1451,Cloudy,1.0,6.6
2024-12-19,Sector 1,1,1572,Clear,8.3,0.7
2024-12-20,Sector 1,1,1595,Clear,1.0,4.2
2024-12-21,Sector 1,1,1359,Clear,1.9,2.5
2024-12-22,Sector 1,1,1360,Clear,2.6,4.4
2024-12-23,Sector 1,1,1530,Cloudy,8.6,5.6
2024-12-24,Sector 1,1,1434,Cloudy,1.0,7.2
2024-12-25,Sector 1,1,1497,Clear,1.0,2.6
2024-12-26,Sector 1,1,1498,Rain,1.0,6.1
2024-12-27,Sector 1,1,1545,Clear,3.0,3.4
2024-12-28,Sector 1,1,1435,Clear,2.9,6.2
2024-12-29,Sector 1,1,1258,Clear,6.9,5.1
2024-12-30,Sector 1,1,1506,Clear,1.0,2.3
2024-12-31,Sector 1,1,1646,Clear,1.0,1.9
2025-01-01,Sector 1,1,1454,Clear,14.0,5.5
2025-01-02,Sector 1,1,1449,Clear,1.0,5.1
2025-01-03,Sector 1,1,1538,Rain,1.0,9.9
2025-01-04,Sector 1,1,1430,Cloudy,1.0,5.0
2025-01-05,Sector 1,1,1359,Cloudy,1.0,4.7
2025-01-06,Sector 1,1,1640,Clear,1.0,3.4
2025-01-07,Sector 1,1,1600,Clear,1.0,2.5
2025-01-08,Sector 1,1,1600,Clear,6.7,4.6
2025-01-09,Sector 1,1,1577,Clear,1.0,5.8
2025-01-10,Sector 1,1,1731,Clear,7.7,4.0
2025-01-11,Sector 1,1,1348,Clear,1.0,4.6
2025-01-12,Sector 1,1,1194,Clear,4.8,4.8
2025-01-13,Sector 1,1,1673,Clear,4.1,5.1
2025-01-14,Sector 1,1,1496,Rain,1.0,8.4
2025-01-15,Sector 1,1,1546,Clear,6.2,4.3
2025-01-16,Sector 1,1,1651,Clear,3.5,6.6
2025-01-17,Sector 1,1,1401,Clear,5.7,1.6
2025-01-18,Sector 1,1,1267,Clear,1.0,4.0
2025-01-19,Sector 1,1,1238,Clear,1.0,5.3
2025-01-20,Sector 1,1,1475,Clear,1.0,2.1
2025-01-21,Sector 1,1,1583,Clear,1.0,3.0
2025-01-22,Sector 1,1,1591,Clear,3.8,6.7
2025-01-23,Sector 1,1,1571,Clear,2.7,4.6
2025-01-24,Sector 1,1,1426,Clear,9.0,3.9
2025-01-25,Sector 1,1,1185,Cloudy,3.7,6.1
2025-01-26,Sector 1,1,1390,Rain,1.0,7.6
2025-01-27,Sector 1,1,1511,Clear,3.3,5.5
2025-01-28,Sector 1,1,1593,Cloudy,4.1,6.4
2025-01-29,Sector 1,1,1615,Clear,5.5,3.7
2025-01-30,Sector 1,1,1568,Clear,3.2,3.5
2025-01-31,Sector 1,1,1623,Clear,1.0,5.3
2025-02-01,Sector 1,1,1412,Clear,2.7,4.4
2025-02-02,Sector 1,1,1440,Cloudy,1.0,8.0
2025-02-03,Sector 1,1,1500,Rain,1.0,8.4
2025-02-04,Sector 1,1,1546,Clear,5.8,5.3
2025-02-05,Sector 1,1,1580,Cloudy,1.0,4.4
2025-02-06,Sector 1,1,1635,Clear,3.4,3.1
2025-02-07,Sector 1,1,1531,Cloudy,1.5,5.2
2025-02-08,Sector 1,1,1446,Clear,3.0,7.2
2025-02-09,Sector 1,1,1379,Clear,1.0,2.1
2025-02-10,Sector 1,1,1558,Cloudy,1.0,3.9
2025-02-11,Sector 1,1,1641,Clear,5.5,4.3
2025-02-12,Sector 1,1,1398,Clear,4.2,7.1
2025-02-13,Sector 1,1,1459,Rain,1.0,9.4
2025-02-14,Sector 1,1,1444,Clear,3.1,3.3
2025-02-15,Sector 1,1,1206,Clear,1.0,3.5
2025-02-16,Sector 1,1,1350,Clear,3.0,5.0
2025-02-17,Sector 1,1,1640,Clear,2.3,2.3
2025-02-18,Sector 1,1,1552,Clear,1.0,7.3
2025-02-19,Sector 1,1,1594,Rain,1.0,6.1
2025-02-20,Sector 1,1,1672,Clear,1.0,2.9
2025-02-21,Sector 1,1,1694,Clear,1.0,5.7
2025-02-22,Sector 1,1,1408,Clear,2.3,4.3
2025-02-23,Sector 1,1,1532,Clear,5.6,3.9
2025-02-24,Sector 1,1,1589,Clear,8.4,4.1
2025-02-25,Sector 1,1,1510,Clear,1.0,5.5
2025-02-26,Sector 1,1,1532,Clear,4.7,4.3
2025-02-27,Sector 1,1,1456,Cloudy,1.6,5.6
2025-02-28,Sector 1,1,1508,Cloudy,4.9,3.7
2025-03-01,Sector 1,1,1389,Clear,8.3,2.6
2025-03-02,Sector 1,1,1490,Clear,7.8,5.3
2025-03-03,Sector 1,1,1735,Clear,5.5,5.4
2025-03-04,Sector 1,1,1468,Clear,2.1,3.4
2025-03-05,Sector 1,1,1622,Clear,2.9,4.0
2025-03-06,Sector 1,1,1499,Clear,2.7,5.4
2025-03-07,Sector 1,1,1631,Clear,1.1,2.4
2025-03-08,Sector 1,1,1413,Cloudy,1.0,7.7
2025-03-09,Sector 1,1,1267,Clear,1.0,7.3
2025-03-10,Sector 1,1,1672,Clear,1.0,3.3
2025-03-11,Sector 1,1,1540,Rain,1.0,12.0
2025-03-12,Sector 1,1,1546,Clear,2.3,5.2
2025-03-13,Sector 1,1,1501,Rain,1.0,9.0
2025-03-14,Sector 1,1,1537,Clear,2.6,6.0
2025-03-15,Sector 1,1,1466,Clear,5.3,0.6
2025-03-16,Sector 1,1,1413,Clear,1.7,2.1
2025-03-17,Sector 1,1,1623,Clear,6.3,2.5
2025-03-18,Sector 1,1,1627,Cloudy,2.7,5.5
2025-03-19,Sector 1,1,1710,Clear,1.0,4.8
2025-03-20,Sector 1,1,1567,Clear,7.3,3.7
2025-03-21,Sector 1,1,1469,Clear,1.1,3.3
2025-03-22,Sector 1,1,1524,Clear,1.9,4.3
2025-03-23,Sector 1,1,1403,Clear,2.3,3.9
2025-03-24,Sector 1,1,1694,Clear,4.8,3.3
2025-03-25,Sector 1,1,1631,Clear,9.2,3.9
2025-03-26,Sector 1,1,1587,Clear,1.0,5.6
2025-03-27,Sector 1,1,1628,Cloudy,4.4,7.7
2025-03-28,Sector 1,1,1767,Clear,9.1,5.3
2025-03-29,Sector 1,1,1613,Cloudy,5.7,3.2
2025-03-30,Sector 1,1,1439,Clear,1.0,6.6
2025-03-31,Sector 1,1,1613,Cloudy,5.1,2.7
2025-04-01,Sector 1,1,1692,Clear,3.4,3.8
